user_id,action_date,action_name,error_message,device
3152,2022-07-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop
4034,2022-07-01,checkout_annual_completepayment.click.fail,"number field is required",desktop
5652,2022-07-01,checkout_annual_completepayment.click.success,NULL,desktop
8765,2022-07-01,checkout_annual_completepayment.click.success,NULL,desktop
162320,2022-07-01,checkout_monthly_completepayment.click.fail,"State field is required",desktop
280011,2022-07-01,checkout_monthly_completepayment.click.success,NULL,mobile
280000,2022-07-01,checkout_annual_completepayment.click.success,NULL,desktop
279959,2022-07-01,checkout_data-strategy_completepayment.click.fail,"year field is required",mobile
278088,2022-07-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop
277323,2022-07-01,checkout_annual_completepayment.click.fail,"year field is required",desktop
12003,2022-07-02,checkout_annual_completepayment.click.fail,"number field is required",desktop
280114,2022-07-02,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
280084,2022-07-02,checkout_annual_completepayment.click.fail,"Your card's security code is incorrect.",desktop
280067,2022-07-02,checkout_annual_completepayment.click.success,NULL,desktop
280053,2022-07-02,checkout_annual_completepayment.click.success,NULL,desktop
279178,2022-07-02,checkout_monthly_completepayment.click.fail,"cvv field is required",desktop
280189,2022-07-03,checkout_data-strategy_completepayment.click.fail,"year field is required",desktop
280140,2022-07-03,checkout_monthly_completepayment.click.fail,"month field is required",desktop
280132,2022-07-03,checkout_monthly_completepayment.click.fail,"Your card's security code is invalid.",desktop
280126,2022-07-03,checkout_annual_completepayment.click.fail,"Your card is not supported.",desktop
278483,2022-07-03,checkout_monthly_completepayment.click.success,NULL,desktop
277782,2022-07-03,checkout_monthly_completepayment.click.success,NULL,desktop
283840,2022-07-04,checkout_annual_completepayment.click.fail,"number field is required",desktop
166837,2022-07-04,checkout_monthly_completepayment.click.success,NULL,desktop
280307,2022-07-04,checkout_data-strategy_completepayment.click.fail,"year field is required",desktop
280233,2022-07-04,checkout_lifetime_completepayment.click.success,NULL,desktop
280218,2022-07-04,checkout_monthly_completepayment.click.success,NULL,desktop
280159,2022-07-04,checkout_monthly_completepayment.click.success,NULL,desktop
280134,2022-07-04,checkout_annual_completepayment.click.fail,"zip field is required",desktop
279881,2022-07-04,checkout_annual_completepayment.click.success,NULL,desktop
278853,2022-07-04,checkout_monthly_completepayment.click.fail,"year field is required",desktop
277721,2022-07-04,checkout_annual_completepayment.click.fail,"zip field is required",desktop
156795,2022-07-05,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
280145,2022-07-05,checkout_lifetime_completepayment.click.fail,"year field is required",desktop
279482,2022-07-05,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
248535,2022-07-05,checkout_monthly_completepayment.click.success,NULL,desktop
9666,2022-07-06,checkout_annual_completepayment.click.fail,"number field is required",desktop
134064,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",desktop
156099,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",mobile
280592,2022-07-06,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
280552,2022-07-06,checkout_monthly_completepayment.click.success,NULL,desktop
280516,2022-07-06,checkout_data-strategy_completepayment.click.fail,"year field is required",desktop
280489,2022-07-06,checkout_data-strategy_completepayment.click.success,NULL,desktop
280448,2022-07-06,checkout_lifetime_completepayment.click.fail,"Credit card number: must be a valid credit card number.",desktop
280427,2022-07-06,checkout_monthly_completepayment.click.success,NULL,desktop
280324,2022-07-06,checkout_monthly_completepayment.click.fail,"year field is required",desktop
280031,2022-07-06,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
277322,2022-07-06,checkout_annual_completepayment.click.fail,"State field is required",desktop
276770,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",desktop
280697,2022-07-07,checkout_annual_completepayment.click.success,NULL,desktop
280548,2022-07-07,checkout_monthly_completepayment.click.success,NULL,desktop
2,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
280818,2022-07-08,checkout_annual_completepayment.click.success,NULL,desktop
280814,2022-07-08,checkout_quarterly_completepayment.click.fail,"zip field is required",desktop
280794,2022-07-08,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
280776,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
280772,2022-07-08,checkout_monthly_completepayment.click.fail,"year field is required",desktop
280744,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
280724,2022-07-08,checkout_annual_completepayment.click.success,NULL,desktop
280709,2022-07-08,checkout_monthly_completepayment.click.fail,"year field is required",desktop
280545,2022-07-08,checkout_annual_completepayment.click.success,NULL,desktop
278539,2022-07-08,checkout_monthly_completepayment.click.success,NULL,desktop
8191,2022-07-09,checkout_annual_completepayment.click.fail,"number field is required",desktop
177649,2022-07-09,checkout_monthly_completepayment.click.success,NULL,desktop
190610,2022-07-09,checkout_monthly_completepayment.click.success,NULL,desktop
280946,2022-07-09,checkout_annual_completepayment.click.success,NULL,desktop
275045,2022-07-09,checkout_monthly_completepayment.click.fail,"year field is required",desktop
3643,2022-07-10,checkout_annual_completepayment.click.fail,"number field is required",desktop
280954,2022-07-10,checkout_annual_completepayment.click.success,NULL,desktop
280868,2022-07-10,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
280412,2022-07-10,checkout_annual_completepayment.click.fail,"year field is required",desktop
280208,2022-07-10,checkout_annual_completepayment.click.fail,"year field is required",desktop
278833,2022-07-10,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
274464,2022-07-10,checkout_monthly_completepayment.click.success,NULL,desktop
182,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
155640,2022-07-11,checkout_quarterly_completepayment.click.success,NULL,desktop
281161,2022-07-11,checkout_monthly_completepayment.click.fail,"year field is required",desktop
281143,2022-07-11,checkout_data-strategy_completepayment.click.success,NULL,desktop
281117,2022-07-11,checkout_monthly_completepayment.click.fail,"number field is required",desktop
213546,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
280249,2022-07-11,checkout_annual_completepayment.click.success,NULL,desktop
275800,2022-07-11,checkout_monthly_completepayment.click.fail,"year field is required",desktop
266814,2022-07-12,checkout_annual_completepayment.click.fail,"number field is required",desktop
281321,2022-07-12,checkout_sql-for-data-science-interviews_completepayment.click.success,NULL,desktop
281315,2022-07-12,checkout_business_completepayment.click.fail,"number field is required",desktop
281283,2022-07-12,checkout_quarterly_completepayment.click.fail,"Your card was declined.",mobile
281281,2022-07-12,checkout_annual_completepayment.click.fail,"Your card's security code is incorrect.",mobile
281240,2022-07-12,checkout_data-strategy_completepayment.click.success,NULL,desktop
281200,2022-07-12,checkout_monthly_completepayment.click.success,NULL,desktop
281095,2022-07-12,checkout_annual_completepayment.click.success,NULL,desktop
281074,2022-07-12,checkout_quarterly_completepayment.click.fail,"State field is required",desktop
200386,2022-07-12,checkout_monthly_completepayment.click.success,NULL,desktop
281592,2022-07-13,checkout_annual_completepayment.click.fail,"number field is required",mobile
281447,2022-07-13,checkout_annual_completepayment.click.success,NULL,desktop
281440,2022-07-13,checkout_annual_completepayment.click.fail,"year field is required",desktop
281331,2022-07-13,checkout_annual_completepayment.click.success,NULL,desktop
281297,2022-07-13,checkout_monthly_completepayment.click.fail,"Your card is not supported.",mobile
280863,2022-07-13,checkout_annual_completepayment.click.fail,"number field is required",mobile
280613,2022-07-13,checkout_annual_completepayment.click.fail,"State field is required",desktop
214361,2022-07-13,checkout_monthly_completepayment.click.fail,"year field is required",mobile
279404,2022-07-13,checkout_monthly_completepayment.click.success,NULL,desktop
276760,2022-07-13,checkout_data-strategy_completepayment.click.success,NULL,desktop
30047,2022-07-14,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
281527,2022-07-14,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
281451,2022-07-14,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
281370,2022-07-14,checkout_lifetime_completepayment.click.fail,"year field is required",mobile
280854,2022-07-14,checkout_annual_completepayment.click.fail,"Credit card number: must be a valid credit card number.",desktop
19677,2022-07-15,checkout_monthly_completepayment.click.success,NULL,desktop
139273,2022-07-15,checkout_monthly_completepayment.click.success,NULL,mobile
172869,2022-07-15,checkout_annual_completepayment.click.fail,"number field is required",desktop
281637,2022-07-15,checkout_lifetime_completepayment.click.success,NULL,desktop
281628,2022-07-15,checkout_data-strategy_completepayment.click.success,NULL,desktop
281609,2022-07-15,checkout_monthly_completepayment.click.success,NULL,mobile
281299,2022-07-15,checkout_annual_completepayment.click.fail,"year field is required",desktop
280825,2022-07-15,checkout_annual_completepayment.click.success,NULL,desktop
278366,2022-07-15,checkout_annual_completepayment.click.success,NULL,desktop
275786,2022-07-15,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
245818,2022-07-15,checkout_annual_completepayment.click.fail,"number field is required",desktop
181830,2022-07-16,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
281773,2022-07-16,checkout_monthly_completepayment.click.fail,"Your card number is incorrect.",desktop
281753,2022-07-16,checkout_monthly_completepayment.click.success,NULL,desktop
280932,2022-07-16,checkout_annual_completepayment.click.fail,"number field is required",desktop
272596,2022-07-16,checkout_quarterly_completepayment.click.success,NULL,desktop
269874,2022-07-16,checkout_quarterly_completepayment.click.fail,"Your card has insufficient funds.",desktop
281796,2022-07-17,checkout_monthly_completepayment.click.fail,"year field is required",mobile
281787,2022-07-17,checkout_annual_completepayment.click.fail,"State field is required",desktop
267684,2022-07-18,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile
264155,2022-07-18,checkout_annual_completepayment.click.success,NULL,mobile
18049,2022-07-18,checkout_monthly_completepayment.click.success,NULL,desktop
135492,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",desktop
